title,text,subject,date
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,06-06-2003
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,26-03-2016
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,29-08-2004
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,02-07-2002
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,26-01-2001
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,05-06-2022
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,09-02-2015
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,24-01-2016
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,16-12-2023
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,07-04-2000
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,04-01-2012
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,25-10-2023
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,02-06-2003
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,21-07-2000
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,16-03-2007
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,22-06-2023
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,01-03-2000
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,13-11-2018
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,05-02-2023
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,05-08-2016
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,03-07-2006
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,19-03-2008
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,01-03-2007
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,05-12-2012
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,16-10-2004
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,01-08-2005
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,08-08-2007
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,19-02-2004
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,17-12-2017
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,06-11-2006
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,18-02-2010
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,07-04-2010
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,28-02-2013
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,13-08-2004
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,03-07-2020
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,25-03-2008
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,22-10-2021
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,28-11-2007
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,21-03-2009
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,19-09-2009
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,20-11-2008
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,11-06-2002
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,19-09-2017
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,01-08-2023
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,19-10-2004
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,15-07-2022
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,26-04-2019
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,16-10-2018
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,01-06-2013
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,01-01-2004
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,10-09-2002
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,03-09-2023
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,04-03-2019
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,08-02-2009
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,13-01-2019
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,18-12-2016
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,18-04-2019
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,30-06-2000
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,16-07-2002
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,01-06-2007
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,27-09-2022
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,25-05-2023
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,22-01-2004
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,20-10-2020
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,03-03-2007
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,24-09-2017
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,12-07-2019
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,25-01-2008
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,23-07-2022
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,18-06-2002
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,18-01-2018
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,14-04-2018
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,30-01-2021
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,26-12-2010
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,11-01-2023
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,07-11-2020
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,30-06-2023
